test_key_val.keys,test_key_val.rt,test_key_aro.keys,test_key_aro.rt,test_key_qual.keys,test_key_qual.rt,test_key_ncat.keys,test_key_ncat.rt,test_key_cats.keys,test_key_cats.rt,test_ncat_order.thisRepN,test_ncat_order.thisTrialN,test_ncat_order.thisN,test_ncat_order.thisIndex,test_ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_filename,link,copyright,slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
6,7.0794,2,2.8306,6,5.1211,3,17.5845,2,1.1921,0,0,0,0,1,main,3,21,female,right,donders,2021-07-08_11h02.59.595,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,3.9792,0,1,1,1,1,second,3,21,female,right,donders,2021-07-08_11h02.59.595,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,1.34,0,2,2,2,1,third,3,21,female,right,donders,2021-07-08_11h02.59.595,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,3,3,3,1,fourth,3,21,female,right,donders,2021-07-08_11h02.59.595,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,4,4,4,1,fifth,3,21,female,right,donders,2021-07-08_11h02.59.595,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,5,5,5,1,sixth,3,21,female,right,donders,2021-07-08_11h02.59.595,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,6,6,6,1,seventh,3,21,female,right,donders,2021-07-08_11h02.59.595,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,7,7,7,1,last,3,21,female,right,donders,2021-07-08_11h02.59.595,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,3,21,female,right,donders,2021-07-08_11h02.59.595,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,0,0,0,1,1,test2.jpg,https://www.flickr.com/photos/cavalier92/16036265548/,CC BY-NC-ND 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2.416,1,1.7237,9,3.206,0,2.8105,,,0,0,0,0,1,main,3,21,female,right,donders,2021-07-08_11h02.59.595,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
