slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,key_fb.keys,key_fb.rt,fb.thisRepN,fb.thisTrialN,fb.thisN,fb.thisIndex,fb.ran,fb_qst,textbox_openfb.text
7,3.5951,8,48.7623,4,1.9026,7,1.945,1,1.3285,3,0.0076,0,0,0,0,1,main,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,0,0,0,75,1,DreamStudyImages_rs1000x750g/Mammals/Dog 14.jpg,,,,,,,,,,,
,,5,4.5633,5,0.0486,5,0.401,1,2.306,6,0.8886,0,0,0,0,1,main,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,21,Female,R,Donders,2021-07-11_13h56.54.761,ImageRatingTask_S5,2021.1.4,Win32,59.95922773,0,1,1,129,1,DreamStudyImages_rs1000x750g/Houses/Landscapes_001_h.jpg,,,,,,,,,,,
