test_key_val.keys,test_key_val.rt,test_key_aro.keys,test_key_aro.rt,test_key_qual.keys,test_key_qual.rt,test_key_ncat.keys,test_key_ncat.rt,test_key_cats.keys,test_key_cats.rt,test_ncat_order.thisRepN,test_ncat_order.thisTrialN,test_ncat_order.thisN,test_ncat_order.thisIndex,test_ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_filename,link,copyright,slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
num_9,9.1381,num_1,7.9581,num_9,4.2056,num_3,16.8375,num_1,4.9574,0,0,0,0,1,main,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,num_4,2.597,0,1,1,1,1,second,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,num_6,2.6571,0,2,2,2,1,third,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,3,3,3,1,fourth,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,4,4,4,1,fifth,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,5,5,5,1,sixth,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,6,6,6,1,seventh,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,7,7,7,1,last,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,0,0,0,2,1,test3.jpg,https://www.flickr.com/photos/7487886@N04/35810127921/in/photolist-WyqgqD-DQSoP-6SrFCE-39ywib-39Bezs-9gt8aT-9gt83Z-eEgA9B-KnLx9-9gt8dK-HXwdie-2b6FA2g-4ekt5k-9ECfRg-2Zr5GQ-2Zr5mC-2Zr6kW-2Zr5Xu-2Zmyac-98TgbK-7U5XRj-am4oXb-98ThEB-2Bw3gh-vXo6D-Wt9U8o-DGiErb-DGiEqE-2m3CpV6-6E2aGG-6DXgqc-4PC3pQ-6HwMbx-dHYvkg-a2ycs-JLvMv-7k6DhM-bA81AL-8zwPFe-5nMrZu-3Ep2da-nhhd2L-DvDkr-81RkjZ-E1HXA-GzGH8Z-83vZYf-9krgXK-5nMxuU-DGiEqu,CC BY-NC 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
num_9,8.5435,num_1,5.3961,num_9,3.0231,num_0,10.6799,,,0,0,0,0,1,main,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,1,1,1,1,second,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,2,2,2,1,third,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,3,3,3,1,fourth,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,4,4,4,1,fifth,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,5,5,5,1,sixth,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,6,6,6,1,seventh,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,7,7,7,1,last,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,0,1,1,4,1,test5.jpg,https://www.flickr.com/photos/silkebaron/2778692021/in/photolist-5exwk8-CeHF3S-5gg796-95cM2x-LGUrp7-oFgB6-2k7B5QN-aufKzz-hn8Di-8A3htc-8EagiU-4Hvk3Y-2b7s1f8-KSEPr-KSseq-KSrU3-KSu4o-KSsS3-Tp6nDS-KSCUM-VpC5Br-4j8meK-bdrepT-7GRM78-e6Zw96-8cCPed-9ANgBi-oFg73-2GGRxm-5dcivP-7sa8oG-2GGRzW-7CFUnh-3giGx-5Bz4op-3gTuGh-5cSvq6-pUnXj-hwTpWT-48n3iY-e5zg7q-7u7zP8-49195x-3iQDe9-aL7cWX-5exvLk-48n2Yy-toytsg-rw5VR-78NSA2,CC BY 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
num_8,9.5734,num_1,4.9931,num_9,1.595,num_2,13.0842,num_7,3.2734,0,0,0,0,1,main,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,num_3,4.1056,0,1,1,1,1,second,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,2,2,2,1,third,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,3,3,3,1,fourth,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,4,4,4,1,fifth,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,5,5,5,1,sixth,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,6,6,6,1,seventh,10,33,female,R,IMT,2021-07-10_08h52.41.286,ImageRatingTask_S1,2021.1.4,Win32,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
