slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,key_fb.keys,key_fb.rt,fb.thisRepN,fb.thisTrialN,fb.thisN,fb.thisIndex,fb.ran,fb_qst,textbox_openfb.text
5,3.6708,7,4.4939,3,1.1436,5,1.9024,1,1.0395,3,0.5362,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,0,0,0,62,1,DreamStudyImages_rs1000x750g/Mammals/Horse 1.jpg,,,,,,,,,,,
,,6,5.1702,1,1.3215,7,1.5529,1,0.7801,3,0.5725,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,0,1,1,39,1,DreamStudyImages_rs1000x750g/Mammals/Animals_146_h.jpg,,,,,,,,,,,
,,2,3.0498,6,1.7128,5,2.5645,1,1.229,7,0.737,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,0,2,2,15,1,DreamStudyImages_rs1000x750g/Vehicles/9904.jpg,,,,,,,,,,,
,,3,2.1601,3,1.5412,7,1.8839,1,1.6291,6,0.8723,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,0,3,3,143,1,DreamStudyImages_rs1000x750g/Houses/Objects_116_v.jpg,,,,,,,,,,,
,,6,5.8308,1,1.1131,5,2.1927,1,1.4624,8,0.5824,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,0,4,4,120,1,DreamStudyImages_rs1000x750g/Water/Rainbow 2.jpg,,,,,,,,,,,
,,4,1.8711,1,1.4951,5,2.6588,1,1.1814,2,0.1752,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,0,5,5,42,1,DreamStudyImages_rs1000x750g/Children/Faces_008_h.jpg,,,,,,,,,,,
,,3,4.1131,7,1.5062,7,2.2331,1,1.0987,5,0.7547,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-08_18h44.04.026,ImageRatingTask_S5,2021.1.4,Win32,60.0240096,,,,,,,,,,,,,,,,,
