slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
3,10.7155,3,6.4037,5,0.9672,8,1.5127,1,2.8851,8,0.7463,0,0,0,0,1,main,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,0,0,0,102,1,DreamStudyImages_rs1000x750g/Water/Landscapes_111_h.jpg,,,
,,4,3.1055,5,0.6447,7,1.903,1,0.8067,6,2.3795,0,0,0,0,1,main,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,0,1,1,49,1,DreamStudyImages_rs1000x750g/Houses/NDPS111_houses8_CROPPED.jpg,,,
,,4,3.3625,5,0.9472,7,1.4932,1,1.3547,3,0.2357,0,0,0,0,1,main,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,0,2,2,56,1,DreamStudyImages_rs1000x750g/Mammals/Bear 2.jpg,,,
,,5,2.7354,5,0.2461,8,1.8906,1,1.161,7,0.3574,0,0,0,0,1,main,5,21,female,R,Donders,2021-07-08_13h39.22.270,ImageRatingTask_S3,2021.1.4,Win32,60.09976561,,,,,,,,,
