slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
5,3.5788,5,3.2287,1,2.9014,5,1.9387,1,1.5008,3,1.1596,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,0,0,0,122,1,DreamStudyImages_rs1000x750g/Mammals/Elephant 1.jpg,,,
,,5,2.9409,1,1.7415,5,1.5333,1,1.2168,7,0.8264,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,0,1,1,126,1,DreamStudyImages_rs1000x750g/Vehicles/5450.jpg,,,
,,6,11.5201,2,1.3125,7,12.057,1,1.4644,5,0.522,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,0,2,2,127,1,DreamStudyImages_rs1000x750g/Food/Objects_081_h.jpg,,,
,,7,28.1823,4,3.2658,7,2.1578,1,1.6265,5,1.0595,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,0,3,3,147,1,DreamStudyImages_rs1000x750g/Food/Objects_079_h.jpg,,,
,,5,1.8302,1,4.3172,4,1.6563,0,2.1716,,,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-06_18h11.03.603,ImageRatingTask_S3,2021.1.4,Win32,59.91252771,,,,,,,,,
