test_key_val.keys,test_key_val.rt,test_key_aro.keys,test_key_aro.rt,test_key_qual.keys,test_key_qual.rt,test_key_ncat.keys,test_key_ncat.rt,test_key_cats.keys,test_ncat_order.thisRepN,test_ncat_order.thisTrialN,test_ncat_order.thisN,test_ncat_order.thisIndex,test_ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_filename,link,copyright,slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
,,,,,,,,,,,,,,,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,0,3,3,0,1,test1.jpg,https://www.flickr.com/photos/julzyax1/8713189147/in/photolist-egXnz6-Kg97g6-paYQjg-cDWcvy-e84vQU-fyRQKZ-dzuwVL-nzCPJw-dzp3r6-SXXSvw-aEgXGF-dzp1D8-aEgZ6F-prcoQG-aEgYd8-dt9EJ8-qTHZUL-dX8ut3-6eqh7x-aEkMyA-avjf71-6eqgKg-pNpDbJ-6euqa5-bo2EMC-q8hCLb-od8yyX-daaz4w-26cjVxB-CXaGmV-C7hSHf-aqmunq-9ek8a1-YcbBUe-apPWHB-HnB8rt-pHQLfh-8YgHaC-aqHteN-d5THbj-5dgTxP-afp2aV-8hNoSm-qhSjJS-d5TqoA-98WoKM-cjnSxo-9b4u7a-d5Tnzf-f7AETL,CC BY-NC 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.5102,5,0.0926,5,0.1944,0,0.5775,,0,0,0,0,1,main,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,1,1,1,1,second,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,2,1,third,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,3,1,fourth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,4,1,fifth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,5,1,sixth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,6,1,seventh,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,7,1,last,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,0,4,4,3,1,test4.jpg,https://www.flickr.com/photos/8782469@N05/33550256294/in/photolist-T7HQjJ-6bL62X-gQ2ptt-eARbhf-dbgLvQ-uKUpgG-e6GNPD-e6iDuV-RwYJie-Ur28At-u6Dvwk-fwts3x-CgqS5E-dgJSNE-fwHPg9-bFQoWv-9qgCN-TQZT7E-475QF-v3ZBG9-v5TFQL-aQVeNV-49XCzE-e5Va7j-v3WosE-5jvzS-cBxjA5-fwJ2P3-TP86kq-eREpVC-rMTQZx-Um3k-ajziHj-CgqSzN-dgP2Ci-e6putY-652ZqG-eARzQm-6ikz1-vrGjvh-Chgvpm-pFFnYq-8bKoVw-eAsukg-daANXC-MwMMfW-5ArWsa-GMcDmn-bLo6CH-9KgagR,CC BY 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,main,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,4,6.6677,7,3.5018,2,6.6471,8,4.8943,2,6.276,3,1.3304,0,0,0,0,1,,,,,,,,,
,,,,,,,,,,,,,,second,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,5,0.3508,0,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,third,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,,,,,,,,,
,,,,,,,,,,,,,,fourth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,,,,,,,,,
,,,,,,,,,,,,,,fifth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,,,,,,,,,
,,,,,,,,,,,,,,sixth,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,0,5,5,5,1,,,,,,,,,
,,,,,,,,,,,,,,seventh,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,0,6,6,6,1,,,,,,,,,
,,,,,,,,,,,,,,last,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,0,7,7,7,1,,,,,,,,,
,,,,,,,,,,,,,,,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,37,1,DreamStudyImages_rs1000x750g/Mammals/Animals_205_h.jpg,,,
,,,,,,,,,,,,,,main,5,21,female,R,Donders,2021-07-07_10h53.26.356,ImageRatingTask_S1,2021.1.4,Win32,59.97001499,,,,,,,,,,,7,3.3616,2,1.6251,8,2.4239,1,4.747,8,0.8423,0,0,0,0,1,,,,,,,,,
