slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,key_fb.keys,key_fb.rt,fb.thisRepN,fb.thisTrialN,fb.thisN,fb.thisIndex,fb.ran,fb_qst,textbox_openfb.text
7,3.364,6,2.969,2,1.352,7,1.686,2,2.63,2,0.758,0,0,0,0,1,main,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,0.265,0,1,1,1,1,second,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,0,0,0,82,1,DreamStudyImages_rs1000x750g/Children/Faces_082_v.jpg,,,,,,,,,,,
,,3,2.187,3,1.711,7,1.718,1,2.01,2,0.609,0,0,0,0,1,main,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,0,1,1,150,1,DreamStudyImages_rs1000x750g/Children/IAPS3310_baby27.jpg,,,,,,,,,,,
,,5,2.612,1,0.671,4,1.633,1,1.418,8,1,0,0,0,0,1,main,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,0,2,2,100,1,DreamStudyImages_rs1000x750g/Water/5820.jpg,,,,,,,,,,,
,,5,5.052,1,2.898,7,1.617,1,2.469,6,1.809,0,0,0,0,1,main,1,22,female,mixed,at home,2021-07-02_09h33.58.886,ImageRatingTask_S5,2021.1.4,MacIntel,62.5,,,,,,,,,,,,,,,,,
