slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
6,3.1501,6,3.8372,1,1.5994,4,2.1967,1,1.8258,2,0.4883,0,0,0,0,1,main,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,0,1,1,1,1,second,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,0,5,5,5,1,sixth,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,0,6,6,6,1,seventh,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,0,7,7,7,1,last,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,,,,,,,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,0,0,0,16,1,DreamStudyImages_rs1000x750g/Children/IAPS2410_boy8.jpg,,,
,,6,2.4769,1,0.9682,7,2.967,2,3.9728,2,1.0245,0,0,0,0,1,main,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,6,2.0349,0,1,1,1,1,second,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,0,2,2,2,1,third,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,0,3,3,3,1,fourth,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
,,,,,,,,,,,,0,4,4,4,1,fifth,14,27,F,R,IMT,2021-07-11_18h58.09.260,ImageRatingTask_S4,2021.1.4,MacIntel,59.94125757,,,,,,,,,
