test_key_val.keys,test_key_val.rt,test_key_aro.keys,test_key_aro.rt,test_key_qual.keys,test_key_qual.rt,test_key_ncat.keys,test_key_ncat.rt,test_key_cats.keys,test_key_cats.rt,test_ncat_order.thisRepN,test_ncat_order.thisTrialN,test_ncat_order.thisN,test_ncat_order.thisIndex,test_ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_filename,link,copyright,slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
4,4.2963,2,2.0922,7,2.4891,1,5.2778,7,1.1872,0,0,0,0,1,main,9,21,Male,R,Donders,2021-07-13_22h57.58.266,ImageRatingTask_S1,2021.1.4,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,1,1,1,1,second,9,21,Male,R,Donders,2021-07-13_22h57.58.266,ImageRatingTask_S1,2021.1.4,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,2,2,2,1,third,9,21,Male,R,Donders,2021-07-13_22h57.58.266,ImageRatingTask_S1,2021.1.4,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,3,3,3,1,fourth,9,21,Male,R,Donders,2021-07-13_22h57.58.266,ImageRatingTask_S1,2021.1.4,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,4,4,4,1,fifth,9,21,Male,R,Donders,2021-07-13_22h57.58.266,ImageRatingTask_S1,2021.1.4,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,5,5,5,1,sixth,9,21,Male,R,Donders,2021-07-13_22h57.58.266,ImageRatingTask_S1,2021.1.4,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,6,6,6,1,seventh,9,21,Male,R,Donders,2021-07-13_22h57.58.266,ImageRatingTask_S1,2021.1.4,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,7,7,7,1,last,9,21,Male,R,Donders,2021-07-13_22h57.58.266,ImageRatingTask_S1,2021.1.4,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,9,21,Male,R,Donders,2021-07-13_22h57.58.266,ImageRatingTask_S1,2021.1.4,Win32,59.91970759,0,0,0,3,1,test4.jpg,https://www.flickr.com/photos/8782469@N05/33550256294/in/photolist-T7HQjJ-6bL62X-gQ2ptt-eARbhf-dbgLvQ-uKUpgG-e6GNPD-e6iDuV-RwYJie-Ur28At-u6Dvwk-fwts3x-CgqS5E-dgJSNE-fwHPg9-bFQoWv-9qgCN-TQZT7E-475QF-v3ZBG9-v5TFQL-aQVeNV-49XCzE-e5Va7j-v3WosE-5jvzS-cBxjA5-fwJ2P3-TP86kq-eREpVC-rMTQZx-Um3k-ajziHj-CgqSzN-dgP2Ci-e6putY-652ZqG-eARzQm-6ikz1-vrGjvh-Chgvpm-pFFnYq-8bKoVw-eAsukg-daANXC-MwMMfW-5ArWsa-GMcDmn-bLo6CH-9KgagR,CC BY 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4.0882,2,1.856,8,2.8806,0,9.0953,,,0,0,0,0,1,main,9,21,Male,R,Donders,2021-07-13_22h57.58.266,ImageRatingTask_S1,2021.1.4,Win32,59.91970759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
