test_key_val.keys,test_key_val.rt,test_key_aro.keys,test_key_aro.rt,test_key_qual.keys,test_key_qual.rt,test_key_ncat.keys,test_key_ncat.rt,test_key_cats.keys,test_ncat_order.thisRepN,test_ncat_order.thisTrialN,test_ncat_order.thisN,test_ncat_order.thisIndex,test_ncat_order.ran,cond_cat,participant,age,gender,handedness (L/R),site (IMT/Donders),date,expName,psychopyVersion,OS,frameRate,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_filename,link,copyright,test_key_cats.rt,slider_pre.response,slider_pre.rt,key_val.keys,key_val.rt,key_aro.keys,key_aro.rt,key_qual.keys,key_qual.rt,key_ncat.keys,key_ncat.rt,key_cats.keys,key_cats.rt,ncat_order.thisRepN,ncat_order.thisTrialN,ncat_order.thisN,ncat_order.thisIndex,ncat_order.ran,img_trials.thisRepN,img_trials.thisTrialN,img_trials.thisN,img_trials.thisIndex,img_trials.ran,filename,slider_post.response,slider_post.rt,textbox_openfb.text
,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,0,1,1,0,1,test1.jpg,https://www.flickr.com/photos/julzyax1/8713189147/in/photolist-egXnz6-Kg97g6-paYQjg-cDWcvy-e84vQU-fyRQKZ-dzuwVL-nzCPJw-dzp3r6-SXXSvw-aEgXGF-dzp1D8-aEgZ6F-prcoQG-aEgYd8-dt9EJ8-qTHZUL-dX8ut3-6eqh7x-aEkMyA-avjf71-6eqgKg-pNpDbJ-6euqa5-bo2EMC-q8hCLb-od8yyX-daaz4w-26cjVxB-CXaGmV-C7hSHf-aqmunq-9ek8a1-YcbBUe-apPWHB-HnB8rt-pHQLfh-8YgHaC-aqHteN-d5THbj-5dgTxP-afp2aV-8hNoSm-qhSjJS-d5TqoA-98WoKM-cjnSxo-9b4u7a-d5Tnzf-f7AETL,CC BY-NC 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15.2954,2,2.4965,4,3.1996,2,8.0818,2,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,1.3664,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,0.5348,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,3,3,3,1,fourth,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,4,4,4,1,fifth,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,5,5,5,1,sixth,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,6,6,6,1,seventh,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,7,7,7,1,last,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,0,2,2,1,1,test2.jpg,https://www.flickr.com/photos/cavalier92/16036265548/,CC BY-NC-ND 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4.3123,1,5.6586,7,3.6579,3,9.3377,1,0,0,0,0,1,main,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,2.2463,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,0,1,1,1,1,second,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,1.3749,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6,0,2,2,2,1,third,4,22,Female,R,Donders,2021-07-06_15h58.59.573,ImageRatingTask_S1,2021.1.4,Win32,60.07449237,,,,,,,,,2.0858,,,,,,,,,,,,,,,,,,,,,,,,,,
